STATIONS_ID	NAME	FEDERAL_STATE
02167	Niederwörresbach	Rheinland-Pfalz
02171	Hersfeld, Bad	Hessen
02173	Herten	Nordrhein-Westfalen
02174	Herzberg	Niedersachsen
02201	Hiddensee-Vitte	Mecklenburg-Vorpommern
02206	Hildesheim	Niedersachsen
02207	Hildesheim (Flugplatz)	Niedersachsen
02211	Hilgenroth	Rheinland-Pfalz
02221	Hindelang-Unterjoch	Bayern
02223	Hindfeld	Thüringen
02225	Hinterhermsdorf	Sachsen
02226	Eisfeld-Waffenrod-Hinterrod	Thüringen
02228	Hinterzarten	Baden-Württemberg
02244	Höchenschwand	Baden-Württemberg
02250	Höllenstein (Kraftwerk)	Bayern
02252	Bertsdorf-Hörnitz	Sachsen
02253	Hörnum/Sylt	Schleswig-Holstein
02260	Hof (Stadt)	Bayern
02261	Hof	Bayern
02264	Hofgeismar-Beberbeck	Hessen
02268	Hofheim	Bayern
02289	Hohennauen	Brandenburg
02290	Hohenpeißenberg	Bayern
02297	Hohenwestedt	Schleswig-Holstein
02302	Hohlstedt-Kötschau	Thüringen
02303	Hohn	Schleswig-Holstein
02306	Hohwacht	Schleswig-Holstein
02315	Holzdorf-Bernsdorf	Brandenburg
02318	Holzhausen a.d. Haide	Rheinland-Pfalz
02319	Holzkirchen	Bayern
02323	Bevern, Kr. Holzminden	Niedersachsen
02324	Holzminden-Silberborn	Niedersachsen
02327	Homberg/Ohm	Hessen
02331	Homburg/Saar	Saarland
02338	Hopsten (Flugplatz)	Nordrhein-Westfalen
02344	Horlachen	Bayern
02349	Hornisgrinde	Baden-Württemberg
02352	Hottingen	Baden-Württemberg
02354	Hoyerswerda Kr. Bautzen	Sachsen
02360	Hüll	Bayern
02362	Hümmerich	Rheinland-Pfalz
02374	Husum	Schleswig-Holstein
02377	Kandern-Gupf	Baden-Württemberg
02385	Idar-Oberstein	Rheinland-Pfalz
02388	Ihringen	Baden-Württemberg
02393	Ilmenau	Thüringen
02396	Ilsenburg	Sachsen-Anhalt
02406	Ingelfingen	Baden-Württemberg
02410	Ingolstadt-Manching	Bayern
02417	Mittbach	Bayern
02422	Iserlohn-Westig	Nordrhein-Westfalen
02423	Isny	Baden-Württemberg
02429	Itzehoe	Schleswig-Holstein
02436	Jänickendorf	Brandenburg
02437	Schleswig-Jagel	Schleswig-Holstein
02444	Jena (Sternwarte)	Thüringen
02451	Jessen/Elster	Sachsen-Anhalt
02456	Jever	Niedersachsen
02464	Jork	Niedersachsen
02465	Jork-Moorende	Niedersachsen
02474	Jülich (Forsch.-Anlage)	Nordrhein-Westfalen
02475	Jüterbog	Brandenburg
02477	Jungholz (Kühmoos)	Baden-Württemberg
02480	Kahl/Main	Bayern
02482	Kahler Asten (A)	Nordrhein-Westfalen
02483	Kahler Asten	Nordrhein-Westfalen
02485	Kaisersbach-Cronhütte	Baden-Württemberg
02486	Kaiserslautern	Rheinland-Pfalz
02488	Kaisheim-Neuhof	Bayern
02493	Kalifornien	Schleswig-Holstein
02494	Kalkar	Nordrhein-Westfalen
02497	Kall-Sistig	Nordrhein-Westfalen
02502	Heiligenstadt, Heilbad-Kalteneber	Thüringen
02503	Kaltennordheim	Thüringen
02506	Kamenz	Sachsen
02521	Karlshuld	Bayern
02522	Karlsruhe	Baden-Württemberg
02532	Kassel	Hessen
02533	Kassel-Harleshausen	Hessen
02536	Kassel-Wilhelmshöhe (A)	Hessen
02542	Kaufbeuren	Bayern
02543	Kaufering	Bayern
02546	Kehl-Odelshofen	Baden-Württemberg
02559	Kempten	Bayern
02564	Kiel-Holtenau	Schleswig-Holstein
02565	Kiel-Kronshagen	Schleswig-Holstein
02573	Waging am See-Schnöbling	Bayern
02575	Kirchberg/Jagst-Herboldshausen	Baden-Württemberg
02578	Kirchdorf/Poel	Mecklenburg-Vorpommern
02597	Kissingen, Bad	Bayern
02600	Kitzingen	Bayern
02601	Kleiner Feldberg/Taunus	Hessen
02609	Klein Rönnau	Schleswig-Holstein
02618	Kleiner Inselsberg	Thüringen
02621	Kleinmachnow	Brandenburg
02627	Schipkau-Klettwitz	Brandenburg
02629	Kleve	Nordrhein-Westfalen
02638	Klippeneck	Baden-Württemberg
02641	Klitzschen bei Torgau	Sachsen
02649	Klosterlausnitz, Bad	Thüringen
02654	Knittlingen	Baden-Württemberg
02656	Koblenz	Rheinland-Pfalz
02657	Koblenz-Horchheim	Rheinland-Pfalz
02665	Köln-Botanischer Garten	Nordrhein-Westfalen
02667	Köln/Bonn	Nordrhein-Westfalen
02680	Königshofen, Bad	Bayern
02689	Königsmoor	Niedersachsen
02691	Königsmoos-Untermaxfeld	Bayern
02693	Königstein/Taunus	Hessen
02700	Kösching	Bayern
02701	Kösen, Bad	Sachsen-Anhalt
02703	Köterberg	Nordrhein-Westfalen
02704	Köthen (Anhalt)	Sachsen-Anhalt
02708	Kohlgrub, Bad (Rosshof)	Bayern
02712	Konstanz	Baden-Württemberg
02713	Konstanz (Stadtgärtnerei)	Baden-Württemberg
02717	Korbach-Lengefeld	Hessen
02738	Kreuth	Bayern
02750	Kronach	Bayern
02757	Krozingen, Bad	Baden-Württemberg
02758	Krozingen, Bad-Hausen	Baden-Württemberg
02761	Krumbach-Edenhausen	Bayern
02770	Kükels	Schleswig-Holstein
02773	Kümmersbruck	Bayern
02775	Künzelsau	Baden-Württemberg
02780	Kulmbach	Bayern
02783	Kumhausen	Bayern
02790	Kusel-Fünfbirken	Rheinland-Pfalz
02794	Kyritz	Brandenburg
02796	Laage-Kronskamp	Mecklenburg-Vorpommern
02798	Laarbruch	Nordrhein-Westfalen
02812	Lahr	Baden-Württemberg
02814	Merklingen	Baden-Württemberg
02821	Lamspringe	Niedersachsen
02829	Landsberg (Flugplatz)	Bayern
02830	Landsberg/Lech	Bayern
02831	Landshut	Bayern
02856	Langenlipsdorf	Brandenburg
02857	Langensalza, Bad	Thüringen
02861	Langeoog	Niedersachsen
02872	Lathen	Niedersachsen
02878	Lauchstädt, Bad	Sachsen-Anhalt
02879	Lauda-Königshofen-Gerlachsheim	Baden-Württemberg
02886	Laupheim	Baden-Württemberg
02889	Lauterberg, Bad (A)	Niedersachsen
02897	Lautertal-Hörgenau	Hessen
02905	Lechfeld	Bayern
02906	Leck (A)	Schleswig-Holstein
02907	Leck	Schleswig-Holstein
02912	Lehbek	Schleswig-Holstein
02915	Lehesten/Thüringer Wald	Thüringen
02920	Leiblfing	Bayern
02923	Leinau	Bayern
02925	Leinefelde	Thüringen
02926	Leipheim (Flugplatz)	Bayern
02928	Leipzig-Holzhausen	Sachsen
02931	Leipzig-Mockau	Sachsen
02932	Leipzig/Halle	Sachsen
02947	Lennestadt-Theten	Nordrhein-Westfalen
02949	Lenningen-Schopfloch	Baden-Württemberg
02950	Lensahn	Schleswig-Holstein
02951	Lenzen/Elbe	Brandenburg
02953	Lenzkirch-Ruhbühl	Baden-Württemberg
02954	Lenzkirch-Saig	Baden-Württemberg
02961	Leuchtturm Kiel	Schleswig-Holstein
02963	Leunawerke	Sachsen-Anhalt
02968	Köln-Stammheim	Nordrhein-Westfalen
02985	Lichtenhain-Mittelndorf	Sachsen
02996	Liebenzell, Bad	Baden-Württemberg
03001	Liliental	Baden-Württemberg
03004	Limburg/Lahn-Offheim	Hessen
03007	Limburgerhof	Rheinland-Pfalz
03015	Lindenberg	Brandenburg
03016	Lindenberg/Allgäu	Bayern
03017	Lindenfels	Hessen
03018	Lindenfels-Winterkasten	Hessen
03023	Lingen	Niedersachsen
03028	Lippspringe, Bad	Nordrhein-Westfalen
03031	Lippstadt-Bökenförde	Nordrhein-Westfalen
03032	List auf Sylt	Schleswig-Holstein
03034	Lobenstein, Bad	Thüringen
03042	Löhnberg-Obershausen	Hessen
03044	Löningen	Niedersachsen
03045	Löningen-Hagel	Niedersachsen
03046	Löningen-Schnetlage	Niedersachsen
03056	Lohr/Main-Steinbach	Bayern
03062	Lorch/Rhein	Hessen
03076	Ludwigshafen-Mundenheim	Rheinland-Pfalz
03082	Lübben	Brandenburg
03083	Lübben-Blumenfelde	Brandenburg
03085	Lübeck	Schleswig-Holstein
03086	Lübeck-Blankensee	Schleswig-Holstein
03088	Lübeck-Werft	Schleswig-Holstein
03093	Lüchow	Niedersachsen
03096	Lüdenscheid (Zeppelin-Gymnasium)	Nordrhein-Westfalen
03098	Lüdenscheid	Nordrhein-Westfalen
03101	Lüdinghausen	Nordrhein-Westfalen
03103	Lüneburg	Niedersachsen
03113	Luisenthal/Ohra	Thüringen
03126	Magdeburg	Sachsen-Anhalt
